哈密瓜 52 香瓜_甜瓜 72 40
牛肉 715 新鲜蔬菜 639 15
牛肉 715 奇异果_猕猴桃 591 11
牛肉 715 鸡肉 1106 20
牛肉 715 芒果 699 11
牛肉 715 羊肉 689 14
牛肉 715 包装 479 10
牛肉 715 樱桃 426 14
牛肉 715 鸡蛋 662 11
牛肉 715 海鲜 1141 18
桔子_橘子 581 其它水果 605 15
桔子_橘子 581 鸡肉 1106 12
桔子_橘子 581 芒果 699 10
桔子_橘子 581 海鲜 1141 12
桔子_橘子 581 沃柑 172 112
芋头 47 番薯 156 17
鸭蛋 385 蛋类 664 235
鸭蛋 385 鸡蛋 662 80
鸭蛋 385 鹅蛋 45 31
鸽子肉 49 鸡肉 1106 20
羊骨 191 羊肉 689 137
其它水果 605 菠萝蜜 235 13
其它水果 605 番薯 156 12
其它水果 605 鱼类 799 10
其它水果 605 新鲜蔬菜 639 15
其它水果 605 奇异果_猕猴桃 591 46
其它水果 605 鸡肉 1106 15
其它水果 605 榴莲 457 26
其它水果 605 芒果 699 34
其它水果 605 苹果 529 52
其它水果 605 山竹 137 21
其它水果 605 海鲜 1141 16
其它水果 605 荔枝 23 16
龙虾 328 海鲜 1141 22
花菜 23 叶菜类 186 23
花菜 23 新鲜蔬菜 639 23
番薯 156 新鲜蔬菜 639 31
生鲜食品 633 牛排 583 22
生鲜食品 633 新鲜蔬菜 639 20
生鲜食品 633 鸡肉 1106 207
生鲜食品 633 羊肉 689 20
生鲜食品 633 包装 479 99
生鲜食品 633 肠 557 10
生鲜食品 633 海鲜 1141 20
生鲜食品 633 鸡翅 652 122
叶菜类 186 新鲜蔬菜 639 55
牛排 583 新鲜蔬菜 639 10
牛排 583 奇异果_猕猴桃 591 10
牛排 583 樱桃 426 10
猪排 193 猪肉 366 140
鱼类 799 刀鱼 109 82
鱼类 799 奇异果_猕猴桃 591 10
鱼类 799 鸡肉 1106 17
鱼类 799 苹果 529 11
鱼类 799 羊肉 689 22
鱼类 799 海鲜 1141 244
鱼类 799 鸡翅 652 16
番荔枝 15 释迦果 30 15
刀鱼 109 海鲜 1141 54
新鲜蔬菜 639 葱姜蒜椒 138 88
新鲜蔬菜 639 鸡肉 1106 10
新鲜蔬菜 639 土豆 70 49
新鲜蔬菜 639 柿子 79 24
新鲜蔬菜 639 苹果 529 12
新鲜蔬菜 639 山药 143 33
新鲜蔬菜 639 笋 70 15
新鲜蔬菜 639 海鲜 1141 11
新鲜蔬菜 639 西红柿 47 20
奇异果_猕猴桃 591 海鲜 1141 16
百香果 447 鸡肉 1106 11
鸡肉 1106 芒果 699 12
鸡肉 1106 苹果 529 18
鸡肉 1106 蛋类 664 12
鸡肉 1106 羊肉 689 17
鸡肉 1106 肠 557 10
鸡肉 1106 海鲜 1141 27
鸡肉 1106 鸡翅 652 431
鲍鱼 93 海鲜 1141 41
鲍鱼 93 贝类 243 74
芒果 699 苹果 529 10
芒果 699 蛋类 664 10
芒果 699 鸡蛋 662 13
芒果 699 海鲜 1141 11
柿子 79 西红柿 47 34
苹果 529 羊肉 689 11
苹果 529 海鲜 1141 16
苹果 529 鸡翅 652 12
苹果 529 荔枝 23 14
蛋类 664 鸡蛋 662 420
蛋类 664 鹅蛋 45 33
蛋类 664 海鲜 1141 13
羊肉 689 羊杂 24 12
羊肉 689 海鲜 1141 22
羊肉 689 鸡翅 652 10
螃蟹 124 大闸蟹 114 91
包装 479 鸡翅 652 19
肠 557 海鲜 1141 15
肠 557 鸡翅 652 10
鸟蛋 12 鹌鹑蛋 37 12
鸡蛋 662 海鲜 1141 14
海鲜 1141 鸡翅 652 21
海鲜 1141 贝类 243 135
